Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,User
0.5413,Sat Feb 24 19:59:04 +0000 2018,0.863,0.0,0.137,"For 27 centuries, Helen of Troy has been one of the most exciting and the most contested of female figures.

She mi… https://t.co/L4tAxYSbXl",1,BBC
-0.4588,Sat Feb 24 19:07:01 +0000 2018,0.842,0.158,0.0,This new targeted treatment is designed to defeat the most common form of leukaemia without chemotherapy. https://t.co/o4qXjnCGhl,2,BBC
-0.2023,Sat Feb 24 18:07:04 +0000 2018,0.904,0.096,0.0,"📺🔮 From @ArrestedDev to @TheSimpsons, these are the strange times TV shows have 'predicted' the future.
👉… https://t.co/wayoksi60x",3,BBC
0.0,Sat Feb 24 17:51:02 +0000 2018,1.0,0.0,0.0,❤️ Meet India's Dr Dolittle who runs an orphanage for wild animals. https://t.co/4XURXwYqHu,4,BBC
0.0,Sat Feb 24 17:50:42 +0000 2018,1.0,0.0,0.0,"RT @BBCOne: “Puberty, periods and pongs!” 

This week’s #CallTheMidwife explores the ups and downs of sex education in the early Sixties. h…",5,BBC
-0.296,Sat Feb 24 16:52:04 +0000 2018,0.727,0.164,0.109,"British actress Emma Chambers, who played Alice in The Vicar of Dibley, has died aged 53. https://t.co/pGyfmD4uTh https://t.co/S5mYiH9RAG",6,BBC
0.0,Sat Feb 24 16:20:09 +0000 2018,1.0,0.0,0.0,"'Should I get plastic surgery before my baby grows up?'
👉 https://t.co/0BCwqeO2by https://t.co/SiviUuZ88u",7,BBC
0.25,Sat Feb 24 15:13:02 +0000 2018,0.905,0.0,0.095,Take a peek behind the scenes of Blade Runner 2049 and see how some of its visual effects were created. https://t.co/N12IZz24Xl,8,BBC
0.0,Sat Feb 24 13:54:12 +0000 2018,1.0,0.0,0.0,"❤️ Saving the orangutans of Sumatra.
👉 https://t.co/5CToziU1Ds https://t.co/M1yd8SAUeH",9,BBC
0.0,Sat Feb 24 13:07:02 +0000 2018,1.0,0.0,0.0,😂🤫 💕 Why does @Camila_Cabello think Blue Ivy shushed @Beyonce &amp; @S_C_ at the Grammys? https://t.co/OncrchDyYV,10,BBC
-0.6428,Sat Feb 24 11:59:01 +0000 2018,0.712,0.288,0.0,"😂 When you're obsessed with #Pyeongchang2018 but have NO idea what the rules are... 

#TheMashReport https://t.co/692EjTQz9n",11,BBC
0.9523,Sat Feb 24 10:47:04 +0000 2018,0.392,0.0,0.608,What a jump! 🏂🥉🇬🇧@billymorgan89's bronze medal win has secured Great Britain their highest medal tally in… https://t.co/IJE2yOCUbT,12,BBC
-0.34,Sat Feb 24 10:33:01 +0000 2018,0.789,0.211,0.0,😂🙈 Why bother thinking when you can just speak...  https://t.co/ef0wpE2SlT,13,BBC
-0.296,Sat Feb 24 10:31:38 +0000 2018,0.901,0.099,0.0,"RT @BBCSport: Two golds.
Two sports.
Same Olympics.

Ester Ledecka has done what no woman has ever done before.

https://t.co/EwuJoThGfB ht…",14,BBC
0.8309,Sat Feb 24 09:57:16 +0000 2018,0.709,0.0,0.291,"RT @BBCSport: Wow! @TeamGB have made history, winning five medals (so far!) at #Pyeongchang2018

Dom Parsons #Bronze
Lizzy Yarnold #Gold
La…",15,BBC
0.0,Sat Feb 24 09:57:04 +0000 2018,1.0,0.0,0.0,"RT @BBCSport: ⚡️ “Billy Morgan makes Winter Olympics history for GB 🇬🇧🙌”

https://t.co/ut23mdtcT4  #Pyeongchang2018 #bbcolympics",16,BBC
0.2263,Sat Feb 24 09:56:58 +0000 2018,0.541,0.212,0.247,"RT @BBCMOTD: Bobby Moore.

A true legend.
A hero to many.

He died 25 years ago today.

Never forgotten. https://t.co/8O1OZ09bPv",17,BBC
-0.1531,Sat Feb 24 09:53:01 +0000 2018,0.882,0.118,0.0,🎨✊ Meet the 91-year-old rebel artist who was told he was unteachable. https://t.co/eDvsObpcPp,18,BBC
